F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,Label
0,0.1015346,0,0,0,0,0,0,0,0,0.05076731,0.1523019,0,0,0.3046038,0,0.05076731,0.05076731,0.1015346,0.2030692,0,0.05076731,0,0.05076731,0,0.05076731,0.1015346,0,0,0,0.05076731,0,0,0.05076731,0,0,0,0.1015346,0.1015346,0,0.05076731,0,0,0.05076731,0,0,0.1015346,0,0,0.05076731,0.1523019,0.1015346,0.05076731,0,0.2538365,0,0.1523019,0.05076731,0.1523019,0,0.1015346,0,0,0.1015346,0.1523019,0.2030692,0.05076731,0.4569058,0.1015346,0,0,0,0,0.1523019,0.2030692,0.3553711,0.05076731,0,0,0,0,0.05076731,0,0.1015346,0.05076731,0,0,0.05076731,0.2030692,0,0,0,0,0,0,0.2030692,0,0,0,0.05076731,Pepper__bell___Bacterial_spot
0,0.1019441,0.03398138,0.03398138,0,0,0,0,0,0.06796277,0.03398138,0,0.1359255,0,0.1359255,0,0.03398138,0,0,0.1019441,0,0,0,0,0.2038883,0.03398138,0.03398138,0.1359255,0,0,0.3058324,0,0,0.2718511,0.2718511,0,0.2038883,0.03398138,0.3737952,0,0.03398138,0.06796277,0.03398138,0.03398138,0.1019441,0,0.03398138,0.1019441,0.1359255,0,0.03398138,0.03398138,0.03398138,0.03398138,0.2038883,0.03398138,0.1019441,0.1699069,0,0.1019441,0.1019441,0.1019441,0,0.06796277,0.2038883,0.06796277,0,0.2718511,0.03398138,0.06796277,0.06796277,0.03398138,0,0.06796277,0.03398138,0.1699069,0.03398138,0.1019441,0,0.03398138,0.1699069,0.03398138,0.06796277,0.06796277,0.1019441,0.03398138,0.03398138,0.06796277,0.1019441,0,0,0.03398138,0,0,0,0.1359255,0,0,0,0.1019441,Pepper__bell___Bacterial_spot
0,0.03331483,0,0.03331483,0.03331483,0.1332593,0,0.03331483,0,0.03331483,0.03331483,0,0.03331483,0,0,0.03331483,0.06662966,0.03331483,0,0.03331483,0,0,0.06662966,0.09994449,0.1332593,0,0,0.03331483,0,0.03331483,0.03331483,0.06662966,0,0.3331483,0.06662966,0.1332593,0.03331483,0.09994449,0.1332593,0.03331483,0.06662966,0.03331483,0,0,0,0.03331483,0.1332593,0.09994449,0.1332593,0,0.03331483,0.06662966,0.09994449,0,0.03331483,0,0.03331483,0.1332593,0,0.1665742,0,0.09994449,0,0.3331483,0,0.06662966,0.06662966,0,0,0.03331483,0.1665742,0,0,0,0,0.09994449,0,0.09994449,0.03331483,0,0.1665742,0.199889,0.1332593,0.03331483,0.03331483,0.03331483,0,0.1665742,0.3331483,0.06662966,0.06662966,0.03331483,0.03331483,0.03331483,0.03331483,0.1665742,0,0.3997779,0,0.199889,Pepper__bell___Bacterial_spot
0,0.02150662,0.02150662,0,0,0.02150662,0,0.02150662,0,0,0.02150662,0,0.02150662,0,0.02150662,0,0.02150662,0.04301324,0,0.04301324,0,0.02150662,0,0.02150662,0.08602648,0.02150662,0,0,0,0,0.2795861,0,0,0.02150662,0,0,0,0,0.1505463,0,0,0,0,0.02150662,0,0,0,0.02150662,0.1075331,0,0.08602648,0.04301324,0.02150662,0,0.3656125,0,0.451639,0,0,0.1290397,0,0,0,0.08602648,0.08602648,0.4086258,0.06451986,0.1075331,0,0,0,0.02150662,0,0,0,0,0.02150662,0.02150662,0,0,0.2580794,0.02150662,0,0.08602648,0,0.04301324,0,0.04301324,0.172053,0.04301324,0,0,0.02150662,0.02150662,0,0.3441059,0,0.2795861,0,0,Pepper__bell___Bacterial_spot
0.0170202,0.0170202,0.0170202,0,0,0,0.0170202,0.06808079,0,0,0.0340404,0.06808079,0.0340404,0,0.1021212,0,0,0,0.0170202,0.0170202,0,0.0170202,0,0,0.3744444,0.0170202,0.0170202,0.05106059,0,0,0.08510099,0,0,0.0340404,0.1021212,0.0170202,0.05106059,0,0.3063636,0,0.0170202,0,0,0.0170202,0.06808079,0,0,0.06808079,0,0.05106059,0.06808079,0.06808079,0.0170202,0.0170202,0.3574242,0,0.4084848,0,0.06808079,0.0170202,0.05106059,0.0170202,0,0.0170202,0.08510099,0.340404,0,0.2382828,0,0,0,0.0340404,0,0.0170202,0.0170202,0.0170202,0,0.06808079,0,0,0.05106059,0.0340404,0.0170202,0,0,0.0170202,0.0170202,0,0.1191414,0.0340404,0,0.05106059,0.0170202,0,0,0.425505,0,0.0340404,0,0.0170202,Pepper__bell___Bacterial_spot
0.1462545,0.07312724,0,0,0,0,0,0,0,0.07312724,0,0.2193817,0,0,0,0,0,0.07312724,0,0.07312724,0,0.1462545,0,0,0,0,0.07312724,0,0,0,0,0,0,0.2193817,0,0.1462545,0,0.2193817,0.1462545,0,0,0,0,0,0,0,0,0,0,0,0.3656362,0.1462545,0.1462545,0.1462545,0.292509,0.07312724,0.1462545,0.07312724,0,0,0.07312724,0,0,0.1462545,0,0,0.07312724,0.4387635,0,0,0.07312724,0,0,0,0,0.2193817,0.07312724,0,0,0,0,0,0,0.07312724,0.07312724,0,0,0,0.2193817,0,0,0,0,0,0,0,0,0.292509,0,0,Pepper__bell___Bacterial_spot
0,0.05711955,0.1142391,0,0,0,0,0,0.05711955,0.02855977,0.02855977,0.08567932,0,0,0.05711955,0,0.02855977,0,0.2284782,0.02855977,0,0.05711955,0,0,0.08567932,0,0.1427989,0,0.05711955,0.02855977,0.05711955,0,0.08567932,0.08567932,0.02855977,0.05711955,0.02855977,0.08567932,0.02855977,0,0.02855977,0,0.05711955,0.02855977,0,0,0.08567932,0.02855977,0.2284782,0,0,0.1142391,0.1999184,0.02855977,0.3427173,0,0.2284782,0,0,0.3141575,0,0.1999184,0,0.05711955,0.1142391,0.2284782,0.1142391,0.1142391,0,0,0.08567932,0.02855977,0.02855977,0.05711955,0.1999184,0.2284782,0,0.02855977,0.05711955,0,0,0.02855977,0,0.1142391,0.08567932,0,0,0,0.3141575,0.02855977,0,0.02855977,0,0.05711955,0,0.02855977,0,0.2284782,0,0.1999184,Pepper__bell___Bacterial_spot
0.0877058,0,0.0438529,0.0438529,0,0,0,0,0,0.0438529,0.0438529,0.0438529,0,0,0.3946761,0,0.0438529,0.0877058,0.0438529,0.1315587,0,0.2192645,0.0877058,0,0.0438529,0,0,0.1315587,0,0.0877058,0.1754116,0,0,0.2192645,0.0438529,0,0,0.1315587,0.0438529,0.0438529,0.2192645,0,0,0.0438529,0.0438529,0.0877058,0.0438529,0.0438529,0.1315587,0,0,0.1754116,0.0877058,0,0.3508232,0,0.1315587,0.0438529,0.1315587,0,0.0877058,0.0438529,0.1315587,0.0877058,0.0438529,0.1754116,0.1315587,0.1315587,0,0.0438529,0,0,0,0.0438529,0.0877058,0.2631174,0,0.0438529,0,0.0438529,0.0877058,0.0438529,0.1315587,0.2192645,0,0,0,0.1315587,0.0438529,0,0,0.0438529,0,0,0.0877058,0.1315587,0.0877058,0.1315587,0,0.0438529,Pepper__bell___Bacterial_spot
0,0.1008581,0.05042907,0,0,0,0,0.06723876,0,0.01680969,0.06723876,0.03361938,0,0,0.05042907,0,0.01680969,0,0.03361938,0.05042907,0,0.03361938,0.01680969,0,0.2521453,0.06723876,0,0.05042907,0,0,0.03361938,0,0,0.01680969,0.06723876,0,0.01680969,0.01680969,0.655578,0,0,0,0,0,0.01680969,0,0,0.05042907,0.03361938,0.03361938,0,0.1008581,0.01680969,0,0.2521453,0,0.4034326,0,0.06723876,0.01680969,0,0.03361938,0,0,0.06723876,0.3193841,0,0.1344775,0.01680969,0,0,0.01680969,0,0,0.05042907,0.01680969,0.01680969,0,0,0,0.03361938,0,0,0.05042907,0.01680969,0.01680969,0.01680969,0.03361938,0.01680969,0.03361938,0,0.03361938,0.01680969,0,0,0.2689551,0.01680969,0.01680969,0,0.06723876,Pepper__bell___Bacterial_spot
0,0.2581989,0.06454972,0,0,0.06454972,0,0,0.06454972,0,0,0.1290994,0,0,0.5163978,0,0,0.06454972,0,0.06454972,0,0,0,0.06454972,0,0,0,0,0,0.06454972,0,0,0,0.2581989,0,0.06454972,0,0.06454972,0.06454972,0.06454972,0.1290994,0,0,0,0.06454972,0,0,0,0,0,0,0.06454972,0,0.06454972,0.1936492,0,0,0.2581989,0.1290994,0,0.1936492,0,0,0.06454972,0.06454972,0.1290994,0.1936492,0.06454972,0,0,0,0,0,0,0.1936492,0.06454972,0,0,0,0,0,0.1290994,0,0.3227486,0,0,0,0,0.06454972,0,0,0.06454972,0,0,0.06454972,0,0.06454972,0,0,0.3227486,Pepper__bell___Bacterial_spot
0,0.2857143,0,0.07142857,0,0,0,0,0,0,0.07142857,0.2142857,0,0,0.2857143,0,0.07142857,0,0,0.1428571,0,0.07142857,0,0,0,0,0,0,0,0.07142857,0,0,0,0.2142857,0,0,0,0,0.07142857,0,0.07142857,0,0,0.1428571,0.07142857,0,0,0,0.07142857,0,0.4285714,0,0,0,0.1428571,0,0,0,0.1428571,0.2857143,0.07142857,0,0,0,0.2142857,0.1428571,0,0.4285714,0,0,0,0,0,0,0.07142857,0,0,0,0,0,0,0,0,0.07142857,0,0,0,0,0,0,0,0,0,0,0,0.07142857,0,0.2857143,0,0,Pepper__bell___Bacterial_spot
0.02217846,0.02217846,0,0,0,0,0,0.02217846,0,0.02217846,0,0,0,0,0.1552492,0,0,0.02217846,0.04435691,0.1108923,0,0.02217846,0,0,0.3992122,0.02217846,0,0.02217846,0.02217846,0,0.1330707,0,0.02217846,0.02217846,0,0.02217846,0.02217846,0.02217846,0.3992122,0,0.02217846,0,0,0,0,0,0,0,0.02217846,0.08871382,0,0.08871382,0.02217846,0,0.3548553,0,0.3770337,0.02217846,0.02217846,0.02217846,0,0.06653537,0.02217846,0,0.06653537,0.3548553,0.04435691,0.08871382,0.02217846,0,0.02217846,0.02217846,0,0,0.02217846,0.02217846,0.02217846,0.06653537,0,0,0,0.02217846,0.06653537,0.08871382,0,0,0,0,0.02217846,0.04435691,0,0.04435691,0.02217846,0,0,0.3992122,0.04435691,0,0,0,Pepper__bell___Bacterial_spot
0,0,0.06593805,0,0,0,0,0,0,0,0,0.1978142,0,0,0.5934424,0,0,0,0.06593805,0.06593805,0,0.06593805,0,0,0,0,0,0,0,0,0,0,0,0.06593805,0,0.06593805,0,0,0.1978142,0,0,0,0,0.06593805,0.1318761,0.2637522,0,0,0,0,0.1318761,0.3296902,0.06593805,0,0,0,0.06593805,0,0.1318761,0,0,0.06593805,0,0.1978142,0.06593805,0,0.06593805,0.3296902,0,0,0.06593805,0,0,0,0.1978142,0,0,0,0,0,0,0,0.06593805,0.06593805,0,0,0,0,0.1318761,0,0,0.1318761,0.06593805,0,0.1318761,0.1318761,0.06593805,0.06593805,0,0.06593805,Pepper__bell___Bacterial_spot
0,0.1462111,0.09747404,0.1462111,0,0,0.09747404,0,0.04873702,0.04873702,0,0.09747404,0.04873702,0,0.1462111,0,0.09747404,0.04873702,0.04873702,0.09747404,0,0,0.04873702,0,0.09747404,0,0.1462111,0.09747404,0,0.04873702,0.04873702,0.04873702,0,0.1462111,0.2436851,0.04873702,0.09747404,0,0.04873702,0,0.04873702,0.04873702,0.1462111,0.04873702,0.04873702,0.04873702,0,0.04873702,0.09747404,0,0.2924221,0,0.04873702,0,0.09747404,0,0.04873702,0,0,0.1462111,0.04873702,0,0.04873702,0.04873702,0.1462111,0.04873702,0,0.3411591,0.04873702,0,0.04873702,0,0.04873702,0,0,0.2436851,0.04873702,0,0,0.04873702,0.04873702,0.04873702,0,0.1949481,0.04873702,0.04873702,0,0.04873702,0.04873702,0,0.04873702,0,0,0,0,0.04873702,0,0.5361072,0,0.04873702,Pepper__bell___Bacterial_spot
0.06495698,0.6495698,0.06495698,0,0,0,0,0,0,0,0.06495698,0.3247849,0.06495698,0,0.06495698,0,0,0,0,0,0,0.06495698,0,0,0.06495698,0,0,0,0,0.06495698,0,0,0,0,0,0.06495698,0,0.06495698,0,0,0.129914,0,0,0.06495698,0.3247849,0.06495698,0,0,0,0,0.129914,0,0.129914,0,0,0,0.06495698,0,0.1948709,0.1948709,0.2598279,0,0,0.129914,0,0,0,0,0,0.06495698,0,0,0.06495698,0,0.129914,0,0.1948709,0,0,0,0,0,0,0.06495698,0,0,0,0,0,0.06495698,0,0,0.06495698,0.06495698,0.129914,0,0,0.06495698,0,0,Pepper__bell___Bacterial_spot
0,0.08831172,0.02943724,0.02943724,0,0.05887448,0,0.05887448,0,0.05887448,0.1766234,0,0.05887448,0,0,0,0,0,0,0.08831172,0,0.02943724,0.02943724,0,0.02943724,0.08831172,0,0.08831172,0,0.02943724,0.117749,0.02943724,0,0.1471862,0.1471862,0.05887448,0.117749,0.2060607,0.5887448,0.05887448,0,0,0.05887448,0,0.02943724,0.05887448,0,0.1471862,0,0,0.02943724,0.117749,0,0,0.117749,0.05887448,0.2060607,0,0.02943724,0.08831172,0.117749,0.02943724,0,0.08831172,0.08831172,0.2060607,0.08831172,0.1766234,0.02943724,0.02943724,0.05887448,0.08831172,0,0.02943724,0.05887448,0,0,0.1471862,0,0,0.08831172,0.08831172,0.08831172,0,0.02943724,0,0.02943724,0.02943724,0.117749,0.02943724,0.02943724,0.1471862,0.05887448,0,0.08831172,0.2943724,0.117749,0.08831172,0.02943724,0.05887448,Pepper__bell___Bacterial_spot
0,0.1254714,0,0.02509428,0,0,0,0,0,0,0.05018856,0.07528284,0,0,0.2258485,0.05018856,0,0.02509428,0,0.02509428,0,0.02509428,0,0,0.2258485,0,0.02509428,0.02509428,0,0.05018856,0.07528284,0,0.05018856,0.1003771,0.1003771,0.02509428,0,0.07528284,0.5269799,0,0.02509428,0.02509428,0,0.02509428,0,0.02509428,0.02509428,0.1003771,0.02509428,0,0.05018856,0.05018856,0.1254714,0.02509428,0.2509428,0,0.3262257,0,0,0.07528284,0,0,0,0.07528284,0,0.5018857,0.02509428,0.1003771,0.05018856,0,0,0,0.02509428,0.05018856,0,0.07528284,0.05018856,0,0,0,0.1254714,0.02509428,0.02509428,0.07528284,0,0.02509428,0.02509428,0.07528284,0.1254714,0.02509428,0,0.02509428,0,0,0,0.07528284,0,0.07528284,0,0.05018856,Pepper__bell___Bacterial_spot
0,0.1426954,0.0951303,0.04756515,0,0,0.0951303,0.0951303,0,0,0.04756515,0.0951303,0.04756515,0,0.1426954,0,0.04756515,0.0951303,0,0.1426954,0.04756515,0,0,0,0.1902606,0.0951303,0.04756515,0,0.04756515,0,0.0951303,0,0,0.04756515,0,0.1426954,0.04756515,0,0.3805212,0.04756515,0.04756515,0,0,0.04756515,0.04756515,0.04756515,0,0.1426954,0.04756515,0.04756515,0,0,0.1426954,0.04756515,0.04756515,0,0.1902606,0.04756515,0,0.1902606,0.04756515,0.04756515,0.04756515,0.04756515,0.0951303,0.04756515,0.0951303,0.332956,0.1426954,0,0.1902606,0,0.04756515,0,0.0951303,0.1426954,0,0.04756515,0.04756515,0,0.1902606,0.1902606,0,0,0,0.04756515,0.0951303,0,0.3805212,0,0,0,0,0.0951303,0,0.1902606,0,0.0951303,0,0.04756515,Pepper__bell___Bacterial_spot
0,0.04686785,0,0,0,0.02343393,0,0.1171696,0,0,0.04686785,0.07030178,0.02343393,0,0.07030178,0,0,0.02343393,0.0937357,0,0,0.04686785,0.02343393,0,0.1171696,0,0,0,0.02343393,0,0.1171696,0,0,0.04686785,0.1640375,0.02343393,0.02343393,0.02343393,0.4921124,0.07030178,0,0,0,0,0,0,0,0.02343393,0.04686785,0.04686785,0.0937357,0.1171696,0.07030178,0,0.4218107,0,0.2812071,0,0.04686785,0,0.1874714,0.07030178,0,0.1640375,0,0.4218107,0.04686785,0.02343393,0,0.02343393,0.04686785,0,0.02343393,0,0.04686785,0.02343393,0,0.02343393,0.04686785,0.02343393,0.07030178,0.04686785,0,0,0,0.04686785,0.02343393,0.02343393,0.0937357,0.04686785,0,0.02343393,0.04686785,0,0.02343393,0.2812071,0,0.02343393,0,0,Pepper__bell___Bacterial_spot
0,0.05324349,0.05324349,0.02662174,0,0.07986523,0,0.02662174,0.02662174,0,0.07986523,0,0,0,0.05324349,0,0,0,0.1863522,0.02662174,0.05324349,0.02662174,0.07986523,0.07986523,0.106487,0,0.05324349,0.02662174,0,0.07986523,0.106487,0.02662174,0.02662174,0.106487,0.05324349,0,0,0.1597305,0.07986523,0.02662174,0.106487,0.02662174,0,0.02662174,0.02662174,0,0.106487,0.02662174,0.05324349,0.07986523,0.02662174,0.02662174,0.02662174,0.05324349,0.3194609,0,0.3194609,0.106487,0,0.05324349,0.02662174,0.02662174,0,0.1863522,0.02662174,0.3727044,0.02662174,0.106487,0,0.07986523,0.2928392,0,0.05324349,0,0.106487,0.1863522,0.05324349,0.02662174,0,0.02662174,0.1597305,0,0,0.3993262,0.02662174,0,0.05324349,0.05324349,0.02662174,0,0,0.05324349,0.05324349,0,0.1597305,0.106487,0,0.02662174,0,0.1331087,Pepper__bell___Bacterial_spot
0,0,0.0378777,0,0,0.0378777,0,0.1515108,0,0,0.1136331,0.0378777,0.1136331,0.0378777,0,0.0378777,0.1136331,0.0757554,0,0,0,0.0378777,0.0378777,0,0.1515108,0,0,0,0,0,0.0378777,0,0,0.1515108,0.1893885,0,0.0378777,0.0378777,0.1136331,0,0,0,0,0,0,0,0,0.1136331,0.0378777,0,0.0757554,0.1136331,0.0757554,0.0378777,0.1136331,0.1136331,0.1515108,0,0,0.1136331,0,0,0.0378777,0.1136331,0.2272662,0.1893885,0.0378777,0.643921,0,0.0757554,0.0757554,0,0,0,0,0.1515108,0,0.0757554,0.0378777,0.0757554,0.1893885,0.0378777,0.0378777,0,0,0.0378777,0,0.0378777,0.1136331,0,0,0.1515108,0,0.0378777,0,0.1515108,0.1893885,0.0757554,0,0.1136331,Pepper__bell___Bacterial_spot
0,0.1599005,0.1066004,0.02665009,0.1066004,0.05330018,0.02665009,0.05330018,0.02665009,0.02665009,0,0.1599005,0.02665009,0,0.02665009,0,0.05330018,0,0.1599005,0,0,0.1865506,0,0.02665009,0,0.02665009,0.2665009,0.05330018,0,0.05330018,0.1066004,0,0.02665009,0.2132007,0.07995027,0.05330018,0,0.1066004,0.1066004,0.02665009,0.02665009,0,0,0,0.1066004,0,0.1865506,0,0.1332504,0.07995027,0,0,0.07995027,0.05330018,0.1066004,0,0.1599005,0,0.02665009,0.293151,0,0.1066004,0,0.1332504,0.05330018,0.3198011,0.02665009,0.05330018,0,0,0.07995027,0.05330018,0.02665009,0,0.07995027,0.3464512,0.07995027,0,0.02665009,0,0.1599005,0.05330018,0.02665009,0.02665009,0.07995027,0,0,0.1599005,0.2132007,0.1066004,0.05330018,0.05330018,0.05330018,0,0.02665009,0.2398508,0,0.1066004,0,0.05330018,Pepper__bell___Bacterial_spot
0,0,0,0.01764736,0,0,0,0.07058945,0,0,0.1588263,0,0,0,0.03529473,0,0.01764736,0.07058945,0.01764736,0.03529473,0,0.07058945,0.01764736,0,0.2647105,0.01764736,0,0.05294209,0,0,0.1411789,0,0.03529473,0,0.2647105,0.01764736,0.05294209,0.01764736,0.4941262,0,0,0.01764736,0,0.01764736,0.07058945,0,0,0,0,0.03529473,0.1235315,0.1588263,0.07058945,0,0.388242,0.01764736,0.388242,0,0.01764736,0,0.03529473,0,0,0,0.07058945,0.2647105,0.01764736,0.08823682,0,0.01764736,0,0.03529473,0,0,0,0,0,0,0,0.03529473,0.01764736,0,0,0.01764736,0,0,0.01764736,0.01764736,0,0.07058945,0,0.01764736,0.05294209,0,0,0.3000052,0,0.05294209,0,0.01764736,Pepper__bell___Bacterial_spot
0,0.04432422,0.02216211,0,0,0.02216211,0,0.1108106,0,0.04432422,0.02216211,0,0,0.02216211,0,0,0.02216211,0.02216211,0,0,0,0.02216211,0.02216211,0,0.1772969,0.02216211,0.06648634,0.02216211,0,0,0.04432422,0,0,0.1108106,0.2881075,0,0.06648634,0.02216211,0.2881075,0,0,0.02216211,0.02216211,0,0.06648634,0,0,0.02216211,0.06648634,0.1108106,0.1108106,0.1551348,0.06648634,0,0.2881075,0.04432422,0.4210801,0.04432422,0,0.1108106,0.02216211,0,0,0.04432422,0.06648634,0.5097286,0.04432422,0.08864845,0,0.04432422,0.02216211,0.04432422,0,0.04432422,0,0.02216211,0.02216211,0.08864845,0,0,0.1551348,0,0,0.1551348,0,0.06648634,0,0,0.02216211,0.06648634,0,0.06648634,0.02216211,0.04432422,0.02216211,0.2437832,0,0.04432422,0,0,Pepper__bell___Bacterial_spot
